# crosstest 2026-09-18T14:41:47Z
# ours   prometheiad/0.2.0 dataset Prometheia 0.1.0, JPL DE440 binary/linux_p1550p2650.440/-#d1e6ab2e prometheia 0aab707+dirty
# theirs astrolog-ephd/2.0 dataset astrolog-ephd/2.0/swiss 2.10.03-ts.14/files#6ed8181c astrolog f9d55b3
# angles in arcsec; positions lon/lat or RA/Dec in degrees; docs/CROSS-TEST.md
leg	epoch_tt	object	observer	frame	plane	mask	deltat	ours	theirs	anchor	anchor_source	sep_servers	sep_ours_anchor	sep_theirs_anchor	band	tier	verdict	note
surfaces		columns						15	10								differs	
surfaces		forms						3	3								same	
surfaces		frames						15	15								same	
surfaces		hypotheticals						cupido,hades,zeus,kronos,apollon,admetos,vulcanus,poseidon,neptune-leverrier	cupido,hades,zeus,kronos,apollon,admetos,vulcanus,poseidon,isis-transpluto,nibiru,harrington,neptune-leverrier,neptune-adams,pluto-lowell,pluto-pickering,vulcan,white-moon,proserpina,waldemath								differs	
surfaces		kinds						63	47								differs	
surfaces		lookup						1024	32								differs	
surfaces		observers						31	31								same	
surfaces		orbitmethods						3	23								differs	
surfaces		orbitpoints						15	15								same	
surfaces		planes						3	3								same	
surfaces		segkinds						59	0								differs	
surfaces		segments						1	0								differs	
surfaces		timescales						7	3								differs	
surfaces		zodiacs						fagan-bradley,lahiri,user	fagan-bradley,lahiri,deluce,raman,usha-shashi,krishnamurti,djwhal-khul,yukteshwar,jn-bhasin,babyl-kugler1,babyl-kugler2,babyl-kugler3,babyl-huber,babyl-etpsc,aldebaran-15tau,hipparchos,sassanian,galcent-0sag,j2000,j1900,b1950,suryasiddhanta,suryasiddhanta-msun,aryabhata,aryabhata-msun,ss-revati,ss-citra,true-citra,true-revati,true-pushya,galcent-rgilbrand,galequ-iau1958,galequ-true,galequ-mula,galalign-mardyks,true-mula,galcent-mula-wilhelm,aryabhata-522,babyl-britton,true-sheoran,galcent-cochrane,galequ-fiorenza,valens-moon,lahiri-1940,lahiri-vp285,krishnamurti-vp291,lahiri-icrc,user								differs	
surfaces		corrmask 0 observers						31	31								same	
surfaces		corrmask 1 observers						31	31								same	
surfaces		corrmask 2 observers						27	0								differs	
surfaces		corrmask 3 observers						27	31								differs	
surfaces		corrmask 4 observers						31	0								differs	
surfaces		corrmask 5 observers						31	31								same	
surfaces		corrmask 6 observers						27	0								differs	
surfaces		corrmask 7 observers						27	31								differs	
same	2378496.5	10	geo	ICRF	equator	0	69.2	284.3749406869/-22.8063780084	284.3749406340/-22.8063780305			1.930e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	301	geo	ICRF	equator	0	69.2	353.4166544219/-6.8107211529	353.4166597831/-6.8107185273			0.0213684053			0.002	2	unadjudicated	DE440 against Swiss .se1 (DE441 refit); the anchor leg was not answered here
same	2378496.5	199	geo	ICRF	equator	0	69.2	271.2078005259/-20.2400237041	271.2078004369/-20.2400237562			3.542e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	299	geo	ICRF	equator	0	69.2	234.9058416108/-16.1935667919	234.9058417001/-16.1935668217			3.269e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	4	geo	ICRF	equator	0	69.2	245.3376300731/-21.4054839059	245.3376300836/-21.4054839076			3.565e-05			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	5	geo	ICRF	equator	0	69.2	87.0842841555/23.1350288948	87.0842839862/23.1350289270			5.723e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	6	geo	ICRF	equator	0	69.2	134.2485498695/17.9617525443	134.2485499876/17.9617526388			5.283e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
