# crosstest 2026-09-18T16:01:57Z
# ours   prometheiad/0.2.0 dataset Prometheia 0.1.0, JPL DE440 binary/linux_p1550p2650.440/-#d1e6ab2e prometheia 20d5678
# theirs astrolog-ephd/2.0 dataset astrolog-ephd/2.0/swiss 2.10.03-ts.14/files#6ed8181c astrolog fd42a40 binary built 2026-09-18T15:53:39Z
# angles in arcsec; positions lon/lat or RA/Dec in degrees; docs/CROSS-TEST.md
leg	epoch_tt	object	observer	frame	plane	mask	deltat	ours	theirs	anchor	anchor_source	sep_servers	sep_ours_anchor	sep_theirs_anchor	band	tier	verdict	note
surfaces		columns						15	10								differs	
surfaces		forms						3	3								same	
surfaces		frames						15	15								same	
surfaces		hypotheticals						cupido,hades,zeus,kronos,apollon,admetos,vulcanus,poseidon,neptune-leverrier	cupido,hades,zeus,kronos,apollon,admetos,vulcanus,poseidon,isis-transpluto,nibiru,harrington,neptune-leverrier,neptune-adams,pluto-lowell,pluto-pickering,vulcan,white-moon,proserpina,waldemath								differs	
surfaces		kinds						63	47								differs	
surfaces		lookup						1024	32								differs	
surfaces		observers						31	31								same	
surfaces		orbitmethods						3	23								differs	
surfaces		orbitpoints						15	15								same	
surfaces		planes						3	3								same	
surfaces		segkinds						59	0								differs	
surfaces		segments						1	0								differs	
surfaces		timescales						7	3								differs	
surfaces		zodiacs						fagan-bradley,lahiri,user	fagan-bradley,lahiri,deluce,raman,usha-shashi,krishnamurti,djwhal-khul,yukteshwar,jn-bhasin,babyl-kugler1,babyl-kugler2,babyl-kugler3,babyl-huber,babyl-etpsc,aldebaran-15tau,hipparchos,sassanian,galcent-0sag,j2000,j1900,b1950,suryasiddhanta,suryasiddhanta-msun,aryabhata,aryabhata-msun,ss-revati,ss-citra,true-citra,true-revati,true-pushya,galcent-rgilbrand,galequ-iau1958,galequ-true,galequ-mula,galalign-mardyks,true-mula,galcent-mula-wilhelm,aryabhata-522,babyl-britton,true-sheoran,galcent-cochrane,galequ-fiorenza,valens-moon,lahiri-1940,lahiri-vp285,krishnamurti-vp291,lahiri-icrc,user								differs	
surfaces		corrmask 0 observers						31	31								same	
surfaces		corrmask 1 observers						31	31								same	
surfaces		corrmask 2 observers						27	0								differs	
surfaces		corrmask 3 observers						27	3								differs	
surfaces		corrmask 4 observers						31	0								differs	
surfaces		corrmask 5 observers						31	19								differs	
surfaces		corrmask 6 observers						27	0								differs	
surfaces		corrmask 7 observers						27	3								differs	
refusals		4	helio			2		ERROR 11									agree	unlisted in WELCOME; 3.5a requires ERROR 11
refusals		4	helio			3		ERROR 11									agree	unlisted in WELCOME; 3.5a requires ERROR 11
refusals		4	helio			6		ERROR 11									agree	unlisted in WELCOME; 3.5a requires ERROR 11
refusals		4	helio			7		ERROR 11									agree	unlisted in WELCOME; 3.5a requires ERROR 11
refusals		4	geo			2			answered, errCode 2								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	geo			4			answered, errCode 2								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	geo			6			answered, errCode 2								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	topo			2			answered, errCode 2								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	topo			4			answered, errCode 2								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
