# crosstest 2026-09-18T21:33:58Z
# ours   prometheiad/0.3.0 dataset Prometheia 0.2.0, JPL DE440 binary/linux_p1550p2650.440/-#dc7c04b4 prometheia 8a72e02+dirty
# theirs astrolog-ephd/2.0 dataset astrolog-ephd/2.0/swiss 2.10.03-ts.14/files#53b914ce astrolog 91e427e binary built 2026-09-18T20:36:53Z
# angles in arcsec; positions lon/lat or RA/Dec in degrees; docs/CROSS-TEST.md
leg	epoch_tt	object	observer	frame	plane	mask	deltat	ours	theirs	anchor	anchor_source	sep_servers	sep_ours_anchor	sep_theirs_anchor	band	tier	verdict	note	req_ours	req_theirs
surfaces		columns						15	10								differs		2063703663	2065756051
surfaces		forms						3	3								same		2063703663	2065756051
surfaces		frames						15	15								same		2063703663	2065756051
surfaces		hypotheticals						cupido,hades,zeus,kronos,apollon,admetos,vulcanus,poseidon,neptune-leverrier	cupido,hades,zeus,kronos,apollon,admetos,vulcanus,poseidon,isis-transpluto,nibiru,harrington,neptune-leverrier,neptune-adams,pluto-lowell,pluto-pickering,vulcan,white-moon,proserpina,waldemath								differs		2063703663	2065756051
surfaces		kinds						63	47								differs		2063703663	2065756051
surfaces		lookup						1024	32								differs		2063703663	2065756051
surfaces		observers						31	31								same		2063703663	2065756051
surfaces		orbitmethods						3	23								differs		2063703663	2065756051
surfaces		orbitpoints						15	15								same		2063703663	2065756051
surfaces		planes						3	3								same		2063703663	2065756051
surfaces		segkinds						59	0								differs		2063703663	2065756051
surfaces		segments						1	0								differs		2063703663	2065756051
surfaces		timescales						7	3								differs		2063703663	2065756051
surfaces		zodiacs						fagan-bradley,lahiri,user	fagan-bradley,lahiri,deluce,raman,usha-shashi,krishnamurti,djwhal-khul,yukteshwar,jn-bhasin,babyl-kugler1,babyl-kugler2,babyl-kugler3,babyl-huber,babyl-etpsc,aldebaran-15tau,hipparchos,sassanian,galcent-0sag,j2000,j1900,b1950,suryasiddhanta,suryasiddhanta-msun,aryabhata,aryabhata-msun,ss-revati,ss-citra,true-citra,true-revati,true-pushya,galcent-rgilbrand,galequ-iau1958,galequ-true,galequ-mula,galalign-mardyks,true-mula,galcent-mula-wilhelm,aryabhata-522,babyl-britton,true-sheoran,galcent-cochrane,galequ-fiorenza,valens-moon,lahiri-1940,lahiri-vp285,krishnamurti-vp291,lahiri-icrc,user								differs		2063703663	2065756051
surfaces		corrmask 0 observers						31	31								same		2063703663	2065756051
surfaces		corrmask 1 observers						31	31								same		2063703663	2065756051
surfaces		corrmask 2 observers						27	0								differs		2063703663	2065756051
surfaces		corrmask 3 observers						27	3								differs		2063703663	2065756051
surfaces		corrmask 4 observers						31	0								differs		2063703663	2065756051
surfaces		corrmask 5 observers						31	19								differs		2063703663	2065756051
surfaces		corrmask 6 observers						27	0								differs		2063703663	2065756051
surfaces		corrmask 7 observers						27	3								differs		2063703663	2065756051
refusals		body	geo			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	2068009969	
refusals		body	geo			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	2070126835	
refusals		body	geo			2		answered, errCode 0									agree	listed in WELCOME, so it must be served	2072058225	
refusals		body	geo			3		answered, errCode 0									agree	listed in WELCOME, so it must be served	2076037049	
refusals		body	geo			4		answered, errCode 0									agree	listed in WELCOME, so it must be served	2077951979	
refusals		body	geo			5		answered, errCode 0									agree	listed in WELCOME, so it must be served	2079949623	
refusals		body	geo			6		answered, errCode 0									agree	listed in WELCOME, so it must be served	2081924815	
refusals		body	geo			7		answered, errCode 0									agree	listed in WELCOME, so it must be served	2083891197	
refusals		orbit point	geo			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	2085813001	
refusals		orbit point	geo			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	2087731255	
refusals		orbit point	geo			2		answered, errCode 0									agree	listed in WELCOME, so it must be served	2087639993	
refusals		orbit point	geo			3		answered, errCode 0									agree	listed in WELCOME, so it must be served	2089495369	
refusals		orbit point	geo			4		answered, errCode 0									agree	listed in WELCOME, so it must be served	2091430187	
refusals		orbit point	geo			5		answered, errCode 0									agree	listed in WELCOME, so it must be served	2093422901	
refusals		orbit point	geo			6		answered, errCode 0									agree	listed in WELCOME, so it must be served	2095426873	
refusals		orbit point	geo			7		answered, errCode 0									agree	listed in WELCOME, so it must be served	2097484511	
refusals		body	topo			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	2099665105	
refusals		body	topo			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	2101730969	
refusals		body	topo			2		answered, errCode 0									agree	listed in WELCOME, so it must be served	2103727391	
