# crosstest 2026-09-19T00:59:31Z
# ours   prometheiad/0.4.0 dataset Prometheia 0.3.0, JPL DE440 binary/linux_p1550p2650.440/-#0a58329b prometheia b48fcf4+dirty
# theirs astrolog-ephd/2.0 dataset astrolog-ephd/2.0/swiss 2.10.03-ts.14/files#a1e5f2aa astrolog b0b6a19+dirty binary built 2026-09-19T00:57:23Z STALE: a running daemon predates this file
# angles in arcsec; positions lon/lat or RA/Dec in degrees; docs/CROSS-TEST.md
leg	epoch_tt	object	observer	frame	plane	mask	deltat	ours	theirs	anchor	anchor_source	sep_servers	sep_ours_anchor	sep_theirs_anchor	band	tier	verdict	note	req_ours	req_theirs
surfaces		columns						15	10								differs		1994632733	1996494723
surfaces		forms						3	3								same		1994632733	1996494723
surfaces		frames						15	15								same		1994632733	1996494723
surfaces		hypotheticals						cupido,hades,zeus,kronos,apollon,admetos,vulcanus,poseidon,neptune-leverrier	cupido,hades,zeus,kronos,apollon,admetos,vulcanus,poseidon,isis-transpluto,nibiru,harrington,neptune-leverrier,neptune-adams,pluto-lowell,pluto-pickering,vulcan,white-moon,proserpina,waldemath								differs		1994632733	1996494723
surfaces		kinds						63	47								differs		1994632733	1996494723
surfaces		lookup						1024	32								differs		1994632733	1996494723
surfaces		observers						31	31								same		1994632733	1996494723
surfaces		orbitmethods						3	23								differs		1994632733	1996494723
surfaces		orbitpoints						15	15								same		1994632733	1996494723
surfaces		planes						3	3								same		1994632733	1996494723
surfaces		segkinds						59	0								differs		1994632733	1996494723
surfaces		segments						1	0								differs		1994632733	1996494723
surfaces		timescales						7	3								differs		1994632733	1996494723
surfaces		zodiacs						fagan-bradley,lahiri,galcent-0sag,true-citra,true-revati,true-pushya,galcent-rgilbrand,galequ-iau1958,galequ-true,galequ-mula,true-mula,galcent-mula-wilhelm,galcent-cochrane,user	fagan-bradley,lahiri,deluce,raman,usha-shashi,krishnamurti,djwhal-khul,yukteshwar,jn-bhasin,babyl-kugler1,babyl-kugler2,babyl-kugler3,babyl-huber,babyl-etpsc,aldebaran-15tau,hipparchos,sassanian,galcent-0sag,j2000,j1900,b1950,suryasiddhanta,suryasiddhanta-msun,aryabhata,aryabhata-msun,ss-revati,ss-citra,true-citra,true-revati,true-pushya,galcent-rgilbrand,galequ-iau1958,galequ-true,galequ-mula,galalign-mardyks,true-mula,galcent-mula-wilhelm,aryabhata-522,babyl-britton,true-sheoran,galcent-cochrane,galequ-fiorenza,valens-moon,lahiri-1940,lahiri-vp285,krishnamurti-vp291,lahiri-icrc,user								differs		1994632733	1996494723
surfaces		corrmask 0 observers						31	31								same		1994632733	1996494723
surfaces		corrmask 1 observers						31	31								same		1994632733	1996494723
surfaces		corrmask 2 observers						27	0								differs		1994632733	1996494723
surfaces		corrmask 3 observers						27	3								differs		1994632733	1996494723
surfaces		corrmask 4 observers						31	0								differs		1994632733	1996494723
surfaces		corrmask 5 observers						31	19								differs		1994632733	1996494723
surfaces		corrmask 6 observers						27	0								differs		1994632733	1996494723
surfaces		corrmask 7 observers						27	3								differs		1994632733	1996494723
refusals		body	geo			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	1999505529	
refusals		body	geo			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	2001623801	
refusals		body	geo			2		answered, errCode 0									agree	listed in WELCOME, so it must be served	2003585201	
refusals		body	geo			3		answered, errCode 0									agree	listed in WELCOME, so it must be served	2005704485	
refusals		body	geo			4		answered, errCode 0									agree	listed in WELCOME, so it must be served	2007909053	
refusals		body	geo			5		answered, errCode 0									agree	listed in WELCOME, so it must be served	2013166795	
refusals		body	geo			6		answered, errCode 0									agree	listed in WELCOME, so it must be served	2013353795	
refusals		body	geo			7		answered, errCode 0									agree	listed in WELCOME, so it must be served	2015428381	
refusals		orbit point	geo			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	2017586751	
refusals		orbit point	geo			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	2020379161	
refusals		orbit point	geo			2		answered, errCode 0									agree	listed in WELCOME, so it must be served	2025276647	
refusals		orbit point	geo			3		answered, errCode 0									agree	listed in WELCOME, so it must be served	2026755057	
refusals		orbit point	geo			4		answered, errCode 0									agree	listed in WELCOME, so it must be served	2032118695	
refusals		orbit point	geo			5		answered, errCode 0									agree	listed in WELCOME, so it must be served	2033912791	
refusals		orbit point	geo			6		answered, errCode 0									agree	listed in WELCOME, so it must be served	2036069917	
refusals		orbit point	geo			7		answered, errCode 0									agree	listed in WELCOME, so it must be served	2037950343	
refusals		body	topo			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	2038716161	
refusals		body	topo			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	2040960635	
refusals		body	topo			2		answered, errCode 0									agree	listed in WELCOME, so it must be served	2045840057	
refusals		body	topo			3		answered, errCode 0									agree	listed in WELCOME, so it must be served	2048639561	
refusals		body	topo			4		answered, errCode 0									agree	listed in WELCOME, so it must be served	2050826481	
refusals		body	topo			5		answered, errCode 0									agree	listed in WELCOME, so it must be served	2052936057	
refusals		body	topo			6		answered, errCode 0									agree	listed in WELCOME, so it must be served	2055056851	
refusals		body	topo			7		answered, errCode 0									agree	listed in WELCOME, so it must be served	2056939439	
refusals		orbit point	topo			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	2059083449	
refusals		orbit point	topo			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	2059973321	
refusals		orbit point	topo			2		answered, errCode 0									agree	listed in WELCOME, so it must be served	2065626173	
refusals		orbit point	topo			3		answered, errCode 0									agree	listed in WELCOME, so it must be served	2067351775	
refusals		orbit point	topo			4		answered, errCode 0									agree	listed in WELCOME, so it must be served	2069604039	
