# crosstest 2026-09-19T04:46:50Z
# ours   prometheiad/0.7.0 dataset Prometheia 0.6.0, JPL DE440 binary/linux_p1550p2650.440/-#70cddb41 prometheia c784d1b+dirty
# theirs astrolog-ephd/2.0 dataset astrolog-ephd/2.0/swiss 2.10.03-ts.14/files#a1e5f2aa astrolog 429c764 binary built 2026-09-19T04:37:46Z STALE: a running daemon predates this file
# angles in arcsec; positions lon/lat or RA/Dec in degrees; docs/CROSS-TEST.md
leg	epoch_tt	object	observer	frame	plane	mask	deltat	ours	theirs	anchor	anchor_source	sep_servers	sep_ours_anchor	sep_theirs_anchor	band	tier	verdict	note	req_ours	req_theirs
surfaces		columns						15	10								differs		348775409	350939153
surfaces		forms						3	3								same		348775409	350939153
surfaces		frames						15	15								same		348775409	350939153
surfaces		hypotheticals						cupido,hades,zeus,kronos,apollon,admetos,vulcanus,poseidon,neptune-leverrier	cupido,hades,zeus,kronos,apollon,admetos,vulcanus,poseidon,isis-transpluto,nibiru,harrington,neptune-leverrier,neptune-adams,pluto-lowell,pluto-pickering,vulcan,white-moon,proserpina,waldemath								differs		348775409	350939153
surfaces		kinds						63	47								differs		348775409	350939153
surfaces		lookup						1024	32								differs		348775409	350939153
surfaces		observers						31	31								same		348775409	350939153
surfaces		orbitmethods						7	23								differs		348775409	350939153
surfaces		orbitpoints						15	15								same		348775409	350939153
surfaces		planes						3	3								same		348775409	350939153
surfaces		segkinds						59	0								differs		348775409	350939153
surfaces		segments						1	0								differs		348775409	350939153
surfaces		timescales						7	3								differs		348775409	350939153
surfaces		zodiacs						fagan-bradley,lahiri,galcent-0sag,true-citra,true-revati,true-pushya,galcent-rgilbrand,galequ-iau1958,galequ-true,galequ-mula,true-mula,galcent-mula-wilhelm,galcent-cochrane,user	fagan-bradley,lahiri,deluce,raman,usha-shashi,krishnamurti,djwhal-khul,yukteshwar,jn-bhasin,babyl-kugler1,babyl-kugler2,babyl-kugler3,babyl-huber,babyl-etpsc,aldebaran-15tau,hipparchos,sassanian,galcent-0sag,j2000,j1900,b1950,suryasiddhanta,suryasiddhanta-msun,aryabhata,aryabhata-msun,ss-revati,ss-citra,true-citra,true-revati,true-pushya,galcent-rgilbrand,galequ-iau1958,galequ-true,galequ-mula,galalign-mardyks,true-mula,galcent-mula-wilhelm,aryabhata-522,babyl-britton,true-sheoran,galcent-cochrane,galequ-fiorenza,valens-moon,lahiri-1940,lahiri-vp285,krishnamurti-vp291,lahiri-icrc,user								differs		348775409	350939153
surfaces		corrmask 0 observers						31	31								same		348775409	350939153
surfaces		corrmask 1 observers						31	31								same		348775409	350939153
surfaces		corrmask 2 observers						27	0								differs		348775409	350939153
surfaces		corrmask 3 observers						27	3								differs		348775409	350939153
surfaces		corrmask 4 observers						31	0								differs		348775409	350939153
surfaces		corrmask 5 observers						31	19								differs		348775409	350939153
surfaces		corrmask 6 observers						27	0								differs		348775409	350939153
surfaces		corrmask 7 observers						27	3								differs		348775409	350939153
refusals		body	geo			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	352759017	
refusals		body	geo			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	354872299	
refusals		body	geo			2		answered, errCode 0									agree	listed in WELCOME, so it must be served	356904159	
refusals		body	geo			3		answered, errCode 0									agree	listed in WELCOME, so it must be served	359239713	
refusals		body	geo			4		answered, errCode 0									agree	listed in WELCOME, so it must be served	361593919	
refusals		body	geo			5		answered, errCode 0									agree	listed in WELCOME, so it must be served	363598221	
refusals		body	geo			6		answered, errCode 0									agree	listed in WELCOME, so it must be served	366191873	
refusals		body	geo			7		answered, errCode 0									agree	listed in WELCOME, so it must be served	368170249	
refusals		orbit point	geo			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	370637049	
refusals		orbit point	geo			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	372635865	
refusals		orbit point	geo			2		answered, errCode 0									agree	listed in WELCOME, so it must be served	375112765	
refusals		orbit point	geo			3		answered, errCode 0									agree	listed in WELCOME, so it must be served	376987995	
refusals		orbit point	geo			4		answered, errCode 0									agree	listed in WELCOME, so it must be served	379389965	
refusals		orbit point	geo			5		answered, errCode 0									agree	listed in WELCOME, so it must be served	381431945	
refusals		orbit point	geo			6		answered, errCode 0									agree	listed in WELCOME, so it must be served	379756211	
refusals		orbit point	geo			7		answered, errCode 0									agree	listed in WELCOME, so it must be served	381692723	
refusals		body	topo			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	383788723	
refusals		body	topo			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	386377487	
refusals		body	topo			2		answered, errCode 0									agree	listed in WELCOME, so it must be served	388358415	
refusals		body	topo			3		answered, errCode 0									agree	listed in WELCOME, so it must be served	390840461	
refusals		body	topo			4		answered, errCode 0									agree	listed in WELCOME, so it must be served	392737555	
refusals		body	topo			5		answered, errCode 0									agree	listed in WELCOME, so it must be served	395229579	
refusals		body	topo			6		answered, errCode 0									agree	listed in WELCOME, so it must be served	397249647	
refusals		body	topo			7		answered, errCode 0									agree	listed in WELCOME, so it must be served	399706209	
refusals		orbit point	topo			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	401404129	
refusals		orbit point	topo			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	403918513	
refusals		orbit point	topo			2		answered, errCode 0									agree	listed in WELCOME, so it must be served	405486475	
refusals		orbit point	topo			3		answered, errCode 0									agree	listed in WELCOME, so it must be served	406973967	
refusals		orbit point	topo			4		answered, errCode 0									agree	listed in WELCOME, so it must be served	409044329	
refusals		orbit point	topo			5		answered, errCode 0									agree	listed in WELCOME, so it must be served	411258543	
refusals		orbit point	topo			6		answered, errCode 0									agree	listed in WELCOME, so it must be served	417090771	
refusals		orbit point	topo			7		answered, errCode 0									agree	listed in WELCOME, so it must be served	419249191	
refusals		body	helio			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	421046581	
refusals		body	helio			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	423562075	
refusals		body	helio			2		ERROR 11									agree	unlisted in WELCOME; 3.5a requires ERROR 11	425689291	
refusals		body	helio			3		ERROR 11									agree	unlisted in WELCOME; 3.5a requires ERROR 11	427658139	
refusals		body	helio			4		answered, errCode 0									agree	listed in WELCOME, so it must be served	425859891	
refusals		body	helio			5		answered, errCode 0									agree	listed in WELCOME, so it must be served	427844655	
refusals		body	helio			6		ERROR 11									agree	unlisted in WELCOME; 3.5a requires ERROR 11	430388001	
refusals		body	helio			7		ERROR 11									agree	unlisted in WELCOME; 3.5a requires ERROR 11	432260583	
refusals		orbit point	helio			0		answered, errCode 0									agree	listed in WELCOME, so it must be served	438297791	
refusals		orbit point	helio			1		answered, errCode 0									agree	listed in WELCOME, so it must be served	440373587	
refusals		orbit point	helio			2		ERROR 11									agree	unlisted in WELCOME; 3.5a requires ERROR 11	442412615	
refusals		orbit point	helio			3		ERROR 11									agree	unlisted in WELCOME; 3.5a requires ERROR 11	443981865	
