# crosstest 2026-09-20T05:25:07Z
# ours   prometheiad/0.8.0 dataset Prometheia 0.7.0, JPL DE440 binary/linux_p1550p2650.440/-#7ddcde20 prometheia 62b8f80
# theirs astrolog-ephd/2.0 dataset astrolog-ephd/2.0/swiss 2.10.03-ts.14/files#a1e5f2aa astrolog 7b2acba binary built 2026-09-20T04:57:10Z
# angles in arcsec; positions lon/lat or RA/Dec in degrees; docs/CROSS-TEST.md
leg	epoch_tt	object	observer	frame	plane	mask	deltat	ours	theirs	anchor	anchor_source	sep_servers	sep_ours_anchor	sep_theirs_anchor	band	tier	verdict	note	req_ours	req_theirs
deflection-topo	2451727	4	topo Zurich	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	1.737e-04	8.484e-11	7.053e-07	2.000e-04	3	agree	elongation 0.873 deg; the textbook term here is 0.3210"	1839140077	1843327431
deflection-topo	2453083	4	topo Zurich	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	1.437e-04	4.280e-11	8.204e-11	2.000e-04	3	agree	elongation 59.972 deg; the textbook term here is 0.0039"	1851647297	1855704805
deflection-topo	2452075	5	topo Zurich	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	3.709e-04	4.078e-10	1.085e-05	2.000e-04	3	agree	elongation 0.318 deg; the textbook term here is 1.2063"	1863402615	1867658179
deflection-topo	2452155	5	topo Zurich	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	1.970e-04	5.067e-11	3.583e-10	2.000e-04	3	agree	elongation 59.893 deg; the textbook term here is 0.0058"	1877784929	1879873011
deflection-topo	2452365	6	topo Zurich	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	7.951e-04	2.723e-11	3.309e-10	2.000e-04	3	agree	elongation 59.797 deg; the textbook term here is 0.0064"	1894565489	1898491921
deflection-topo	2452815	6	topo Zurich	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	4.127e-04	1.770e-10	1.270e-06	2.000e-04	3	agree	elongation 0.803 deg; the textbook term here is 0.5140"	1906656313	1910631759
deflection-topo	2451633	199	topo Zurich	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	6.194e-04	5.838e-11	2.694e-10	2.000e-04	3	agree	elongation 27.818 deg; the textbook term here is 0.0026"	1919049007	1924672429
deflection-topo	2452767	199	topo Zurich	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	3.125e-04	2.562e-11	2.944e-11	2.000e-04	3	agree	elongation 0.339 deg; the textbook term here is 0.0000", below the 0.0002" band: this row grades nothing	1932851451	1936982609
deflection-topo	2451705	299	topo Zurich	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	4.630e-04	1.158e-10	1.785e-06	2.000e-04	3	agree	elongation 0.529 deg; the textbook term here is 0.3607"	1945501567	1949588565
deflection-topo	2451927	299	topo Zurich	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	3.117e-04	7.597e-11	1.104e-10	2.000e-04	3	agree	elongation 47.092 deg; the textbook term here is 0.0017"	1958261945	1962863309
deflection-topo	2451727	4	topo Quito	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	2.062e-04	1.445e-10	7.068e-07	2.000e-04	3	agree	elongation 0.872 deg; the textbook term here is 0.3213"	2049537527	2053768113
deflection-topo	2453083	4	topo Quito	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	4.687e-05	2.960e-11	6.086e-11	2.000e-04	3	agree	elongation 59.969 deg; the textbook term here is 0.0039"	2061698057	2066028565
deflection-topo	2452075	5	topo Quito	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	3.300e-04	3.774e-10	1.080e-05	2.000e-04	3	agree	elongation 0.318 deg; the textbook term here is 1.2034"	2073716367	2077534503
deflection-topo	2452155	5	topo Quito	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	1.442e-04	3.550e-11	3.092e-10	2.000e-04	3	agree	elongation 59.895 deg; the textbook term here is 0.0058"	2087549713	2090783797
deflection-topo	2452365	6	topo Quito	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	7.722e-04	3.193e-11	3.934e-10	2.000e-04	3	agree	elongation 59.794 deg; the textbook term here is 0.0064"	2098949149	2102882967
deflection-topo	2452815	6	topo Quito	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	4.062e-04	1.369e-10	1.267e-06	2.000e-04	3	agree	elongation 0.804 deg; the textbook term here is 0.5134"	2111012933	2115386147
deflection-topo	2451633	199	topo Quito	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	2.702e-04	6.487e-11	2.766e-10	2.000e-04	3	agree	elongation 27.817 deg; the textbook term here is 0.0026"	2122824235	2134881083
deflection-topo	2452767	199	topo Quito	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	6.910e-04	1.146e-11	0	2.000e-04	3	agree	elongation 0.338 deg; the textbook term here is 0.0000", below the 0.0002" band: this row grades nothing	2147176903	2791507
deflection-topo	2451705	299	topo Quito	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	5.559e-04	1.274e-10	1.777e-06	2.000e-04	3	agree	elongation 0.530 deg; the textbook term here is 0.3599"	10832521	15219809
deflection-topo	2451927	299	topo Quito	ICRF	equator	3	69.2				textbook deflection (USNO Circular 179) on each server's own mask-1 answer	1.669e-04	1.675e-11	2.061e-10	2.000e-04	3	agree	elongation 47.092 deg; the textbook term here is 0.0017"	23351695	27335903
deflection-topo			topo Zurich vs geo	ICRF	equator	1	69.2				the same server's geocentric mask-1 answer at the same instant		11.5575644	11.5574413	0.5	3	agree	diurnal parallax at Zurich over 10 rows; below the band would mean the site never reached the computation		
deflection-topo			topo Quito vs geo	ICRF	equator	1	69.2				the same server's geocentric mask-1 answer at the same instant		15.4138453	15.4138787	0.5	3	agree	diurnal parallax at Quito over 10 rows; below the band would mean the site never reached the computation		
deflection-topo			topo Zurich vs Quito	ICRF	equator	1	69.2				the same server's own answer from the other site		19.3633115	19.3631794	0.5	3	agree	the two sites' answers differ; equal answers would mean one fixed site, which is how the frozen topocentric orbit points read		
