# ratesweep 127.0.0.1:47190 bound 1e-05 1e-09 (A.3 default)
config	epoch_tt	object	lon_err	lat_err	dist_err_au_per_day	dist_err_per_au	flag
geo apparent, true of date, ecliptic	2378496.5	Sun	5.5704e-12	1.0402e-11	2.8619e-13	2.8619e-13	
geo apparent, true of date, ecliptic	2378496.5	Moon	8.2506e-09	6.7804e-09	8.2123e-14	8.2123e-14	
geo apparent, true of date, ecliptic	2378496.5	Mercury	9.5120e-11	3.1432e-11	1.9294e-12	1.9294e-12	
geo apparent, true of date, ecliptic	2378496.5	Venus	3.0803e-11	3.4381e-11	3.4781e-13	3.4781e-13	
geo apparent, true of date, ecliptic	2378496.5	Earth					unanswered errCode 2
geo apparent, true of date, ecliptic	2378496.5	Mars	2.3793e-12	6.6039e-12	2.7126e-12	1.2096e-12	
geo apparent, true of date, ecliptic	2378496.5	Jupiter	1.9084e-11	1.8116e-12	4.2535e-12	1.0177e-12	
geo apparent, true of date, ecliptic	2378496.5	Saturn	2.2649e-11	4.7128e-13	2.5958e-12	3.1551e-13	
geo apparent, true of date, ecliptic	2378496.5	Uranus	5.5740e-12	1.5585e-12	1.2891e-11	7.1425e-13	
geo apparent, true of date, ecliptic	2378496.5	Neptune	1.2051e-11	1.4174e-11	3.0700e-11	9.9383e-13	
geo apparent, true of date, ecliptic	2378496.5	Pluto	2.8352e-11	9.5673e-12	5.4706e-11	1.3176e-12	
geo apparent, true of date, ecliptic	2378496.5	Moon mean asc node	1.7845e-09	4.7023e-09	2.8395e-13	2.8395e-13	
geo apparent, true of date, ecliptic	2378496.5	Moon osc asc node	1.2045e-09	4.8633e-09	7.8554e-15	7.8554e-15	
geo apparent, true of date, ecliptic	2378496.5	Moon mean desc node	1.4442e-09	6.8802e-10	4.4027e-14	4.4027e-14	
geo apparent, true of date, ecliptic	2378496.5	Moon osc desc node	8.8587e-09	1.0078e-09	3.2726e-13	3.2726e-13	
geo apparent, true of date, ecliptic	2378496.5	Moon mean perihelion	1.8532e-08	3.6760e-09	2.6243e-13	2.6243e-13	
geo apparent, true of date, ecliptic	2378496.5	Moon osc perihelion	6.6243e-07	6.5697e-08	1.8554e-12	1.8554e-12	
