# ratesweep 127.0.0.1:47392 bound 0.005 0.0001 (advertised)
config	epoch_tt	object	lon_err	lat_err	dist_err	flag
geo apparent, true of date, ecliptic	2378496.5	Sun				unanswered errCode 3
geo apparent, true of date, ecliptic	2378496.5	Moon				unanswered errCode 3
geo apparent, true of date, ecliptic	2378496.5	Mercury				unanswered errCode 3
geo apparent, true of date, ecliptic	2378496.5	Venus				unanswered errCode 3
geo apparent, true of date, ecliptic	2378496.5	Earth	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2378496.5	Mars				unanswered errCode 3
geo apparent, true of date, ecliptic	2378496.5	Jupiter				unanswered errCode 3
geo apparent, true of date, ecliptic	2378496.5	Saturn				unanswered errCode 3
geo apparent, true of date, ecliptic	2378496.5	Uranus				unanswered errCode 3
geo apparent, true of date, ecliptic	2378496.5	Neptune				unanswered errCode 3
geo apparent, true of date, ecliptic	2378496.5	Pluto				unanswered errCode 3
geo apparent, true of date, ecliptic	2378496.5	Moon mean asc node				unanswered errCode 4
geo apparent, true of date, ecliptic	2378496.5	Moon osc asc node	8.8200e-08	0.0000e+00	6.0418e-12	
geo apparent, true of date, ecliptic	2378496.5	Moon mean desc node				unanswered errCode 4
geo apparent, true of date, ecliptic	2378496.5	Moon osc desc node				unanswered errCode 3
geo apparent, true of date, ecliptic	2378496.5	Moon mean perihelion				unanswered errCode 4
geo apparent, true of date, ecliptic	2378496.5	Moon osc perihelion				unanswered errCode 4
geo apparent, true of date, ecliptic	2378496.5	Moon mean aphelion	3.0145e-08	7.0291e-06	1.8504e-16	
geo apparent, true of date, ecliptic	2378496.5	Moon osc aphelion	3.5981e-06	3.0231e-07	8.6560e-12	
geo apparent, true of date, ecliptic	2378496.5	Mercury mean asc node				unanswered errCode 4
geo apparent, true of date, ecliptic	2378496.5	Mercury osc asc node				unanswered errCode 4
geo apparent, true of date, ecliptic	2378496.5	Mercury mean desc node				unanswered errCode 4
geo apparent, true of date, ecliptic	2378496.5	Mercury osc desc node				unanswered errCode 4
geo apparent, true of date, ecliptic	2378496.5	Mercury mean perihelion				unanswered errCode 4
